ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1229091	0.00446	2.95e-07	12.0403834	5.88224	1.36596021	583828531	Nr1d1	nuclear receptor subfamily 1, group D, member 1
ILMN_1231586	0.00907	1.38e-06	10.1914845	4.90542	0.5931823	84490404	Sertad2	SERTA domain containing 2
ILMN_2749669	0.00907	1.80e-06	9.902064	4.7268	0.93138853	583828531	Nr1d1	nuclear receptor subfamily 1, group D, member 1
ILMN_2710678	0.012	3.17e-06	9.3012484	4.33012	0.83475839	84370341	Nfic	nuclear factor I/C
ILMN_2719324	0.01287	5.32e-06	8.7791022	3.95471	0.50706595	117938304	Sobp	sine oculis-binding protein homolog (Drosophila)
ILMN_2659540	0.01287	5.60e-06	8.7299579	3.9178	0.52872285	113199768	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3
ILMN_2623112	0.01287	6.01e-06	8.6604079	3.86511	0.46558997	51592074	Fam168a	family with sequence similarity 168, member A
ILMN_2754253	0.01287	6.81e-06	8.5397733	3.77236	0.63896076	89001108	Gna13	guanine nucleotide binding protein, alpha 13
ILMN_2987862	0.02094	1.25e-05	-7.9725687	3.31248	-0.89082235	153792235	Per2	period circadian clock 2
ILMN_3158250	0.02574	1.70e-05	7.6911561	3.06899	0.52598468	270309154	Cxcl12	chemokine (C-X-C motif) ligand 12
ILMN_2772728	0.02626	1.91e-05	7.5891726	2.97812	0.51136457	117938304	Sobp	sine oculis-binding protein homolog (Drosophila)
ILMN_2602011	0.02714	2.19e-05	7.4674499	2.86777	0.69610369	160333306	Papola	poly (A) polymerase alpha
ILMN_2732465	0.02714	2.33e-05	7.4135865	2.81828	0.5539984	281485601	Mef2c	myocyte enhancer factor 2C
ILMN_3102736	0.02714	2.51e-05	7.3503005	2.75961	0.58670796	238624243	Ciart	circadian associated repressor of transcription
ILMN_3029489	0.03113	3.09e-05	7.1740227	2.59315	0.55176832	238624243	Ciart	circadian associated repressor of transcription
ILMN_2690596	0.03207	3.39e-05	-7.0945795	2.51665	-0.64499622	117606331	Hey1	hairy/enhancer-of-split related with YRPW motif 1
ILMN_1216764	0.0335	3.87e-05	-6.9847123	2.4093	-1.07266531	118130957	Ier3	immediate early response 3
ILMN_2752030	0.0335	3.99e-05	6.9599653	2.38488	1.04536933	161086894	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1
ILMN_2599214	0.04025	5.05e-05	6.7649298	2.1891	0.64493554	255069799	6430548M08Rik	RIKEN cDNA 6430548M08 gene
ILMN_2660898	0.04547	6.01e-05	6.6250835	2.04511	0.33582337	530231314	Aggf1	angiogenic factor with G patch and FHA domains 1
ILMN_2823011	0.04797	6.66e-05	6.5433803	1.95957	0.82026319	130507684	Myo10	myosin X
ILMN_2595283	0.05654	8.22e-05	6.3772164	1.78231	0.40466804	254911008	Rrp1b	ribosomal RNA processing 1 homolog B (S. cerevisiae)
ILMN_3128535	0.05748	8.77e-05	6.3269814	1.72784	0.97175574	254939669	Samd4	sterile alpha motif domain containing 4
ILMN_2680128	0.05748	9.12e-05	6.296552	1.69465	0.46057523	61742809	Zc3h13	zinc finger CCCH type containing 13
ILMN_2741677	0.05914	9.80e-05	6.2410004	1.63366	0.75068432	82659113	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1
ILMN_1214950	0.05914	1.02e-04	6.2128013	1.60251	1.28240668	281485601	Mef2c	myocyte enhancer factor 2C
ILMN_1246298	0.06184	1.10e-04	6.149629	1.53225	0.40532537	547235287	Atp8a1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
ILMN_1231420	0.07346	1.36e-04	5.9916069	1.35359	0.63467692	124378041	Golga2	golgi autoantigen, golgin subfamily a, 2
ILMN_3022492	0.07435	1.43e-04	5.9563013	1.3131	0.62667414	84370341	Nfic	nuclear factor I/C
ILMN_2632509	0.0788	1.56e-04	5.8875286	1.23363	0.64841385	118130995	Ppp1r14c	protein phosphatase 1, regulatory (inhibitor) subunit 14c
ILMN_2987863	0.08523	1.77e-04	-5.7957378	1.12631	-0.65125198	153792235	Per2	period circadian clock 2
ILMN_2650439	0.08523	1.81e-04	5.77728	1.10455	0.57418532	237874258	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1
ILMN_2737867	0.08523	1.86e-04	5.7591518	1.08313	0.49691866	171543852	Map1b	microtubule-associated protein 1B
ILMN_2707510	0.08807	1.99e-04	5.707721	1.02205	0.64953681	340007430	Arntl	aryl hydrocarbon receptor nuclear translocator-like
ILMN_2780424	0.08807	2.04e-04	-5.692077	1.00338	-0.72779373	158508425	Zfp36l1	zinc finger protein 36, C3H type-like 1
ILMN_1237993	0.09102	2.20e-04	5.637161	0.93751	0.25993215	125490377	Nasp	nuclear autoantigenic sperm protein (histone-binding)
ILMN_2457408	0.09102	2.28e-04	5.6102348	0.90502	0.30468923	118130013	Zswim4	zinc finger SWIM-type containing 4
ILMN_2979824	0.09102	2.29e-04	5.6084278	0.90284	0.8974229	922959951	Rgs5	regulator of G-protein signaling 5
ILMN_2751090	0.10051	2.59e-04	5.5183571	0.79323	0.46160692	142378303	Cep68	centrosomal protein 68
ILMN_2606667	0.10424	2.76e-04	5.4741948	0.73897	0.77080955	161016791	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6
ILMN_2689333	0.1125	3.05e-04	5.4024501	0.65011	0.39807253	158631204	Csnk1e	casein kinase 1, epsilon
ILMN_2832641	0.11365	3.15e-04	5.3782064	0.61987	0.36498475	145279230	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
ILMN_2921095	0.13184	3.81e-04	-5.2450879	0.45206	-0.29841219	158186702	Hnrnpm	heterogeneous nuclear ribonucleoprotein M
ILMN_2752994	0.13184	3.83e-04	5.2413711	0.44733	1.17854613	341926178	Fbxo32	F-box protein 32
ILMN_3086136	0.1327	4.14e-04	5.1883413	0.37958	0.46226798	80978936	Agap1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
ILMN_1245750	0.1327	4.29e-04	5.1640983	0.34844	0.46628549	320461726	Prkcd	protein kinase C, delta
ILMN_1215884	0.1327	4.36e-04	5.1526345	0.33368	0.52211338	86476089	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
ILMN_2763825	0.1327	4.52e-04	5.1278455	0.30169	0.27927118	58037170	Ipmk	inositol polyphosphate multikinase
ILMN_3142391	0.1327	4.55e-04	5.1234577	0.29602	0.32106712	146198768	Slc22a23	solute carrier family 22, member 23
ILMN_2620069	0.1327	4.56e-04	5.1207899	0.29257	0.20004919	256985187	Polr1a	polymerase (RNA) I polypeptide A
ILMN_2604814	0.1327	4.62e-04	5.1117312	0.28084	0.25589022	12963626	Fgf22	fibroblast growth factor 22
ILMN_1257299	0.1327	4.63e-04	-5.1102436	0.27891	-1.33185275	181337096	G0s2	G0/G1 switch gene 2
ILMN_1213053	0.1327	4.65e-04	5.1080349	0.27605	0.23225574	146141150	Wars2	tryptophanyl tRNA synthetase 2 (mitochondrial)
