ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1225835	0.0106	0.00000108	9.260909	5.3727	0.53626965	118131047	Mfap5	microfibrillar associated protein 5
ILMN_2596979	0.0106	0.0000024	-8.568783	4.7601	-0.70175433	110815819	Nrarp	Notch-regulated ankyrin repeat protein
ILMN_2602011	0.0106	0.00000286	8.420849	4.62135	0.43451671	160333306	Papola	poly (A) polymerase alpha
ILMN_2609549	0.0106	0.00000302	-8.374981	4.57775	-0.55079668	70778905	Cacng1	calcium channel, voltage-dependent, gamma subunit 1
ILMN_3158250	0.0106	0.0000035	8.251361	4.45885	0.41035268	270309154	Cxcl12	chemokine (C-X-C motif) ligand 12
ILMN_2599214	0.0117	0.00000463	8.024181	4.23496	0.53880529	255069799	6430548M08Rik	RIKEN cDNA 6430548M08 gene
ILMN_2730926	0.0242	0.00001185	7.289135	3.46039	0.42655067	146198816	Lsm12	LSM12 homolog
ILMN_1214950	0.0242	0.00001345	7.193459	3.35368	0.54637098	281485601	Mef2c	myocyte enhancer factor 2C
ILMN_2607880	0.0242	0.0000145	-7.137739	3.29089	-0.34661293	567316263	Tkt	transketolase
ILMN_2590321	0.0242	0.00001602	7.063533	3.20652	0.43437635	146134914	Nhlrc2	NHL repeat containing 2
ILMN_3072536	0.0278	0.00002018	6.89415	3.01072	0.48776036	281332182	Eif5	eukaryotic translation initiation factor 5
ILMN_2748205	0.0362	0.00002869	-6.640603	2.70911	-0.3152907	281306827	Hspb3	heat shock protein 3
ILMN_2754954	0.0381	0.00003303	-6.540831	2.58758	-0.41694269	118026922	Mpp3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)
ILMN_1229994	0.0381	0.00003527	6.494698	2.53084	0.3700366	402747080	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)
ILMN_2710139	0.0451	0.0000465	6.302456	2.29061	0.41909276	238018130	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
ILMN_2659540	0.0451	0.00004954	6.25897	2.23542	0.39952791	113199768	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3
ILMN_2933399	0.0451	0.0000507	-6.243065	2.21516	-0.37197912	NA		
ILMN_2485323	0.0466	0.00005542	-6.182153	2.13716	-0.86898635	118129942	Trf	transferrin
ILMN_2971131	0.0475	0.0000597	6.131609	2.07196	0.26354667	141801891	Tmem261	transmembrane protein 261
ILMN_2865558	0.048	0.00006854	-6.038312	1.9505	-0.38313065	254588040	Vps33a	VPS33A CORVET/HOPS core subunit
ILMN_2595283	0.048	0.00006928	6.031035	1.94096	0.29997508	254911008	Rrp1b	ribosomal RNA processing 1 homolog B (S. cerevisiae)
ILMN_2928875	0.048	0.00007373	-5.989307	1.88611	-0.33177944	255982496	Atp6v1g1	ATPase, H+ transporting, lysosomal V1 subunit G1
ILMN_2652425	0.048	0.00007607	-5.968393	1.8585	-0.25529622	225543556	Thap3	THAP domain containing, apoptosis associated protein 3
ILMN_3128535	0.048	0.00007619	5.967359	1.85714	0.40859514	254939669	Samd4	sterile alpha motif domain containing 4
ILMN_2611261	0.0496	0.00008238	5.915273	1.78806	0.44684693	695271690	Atp5j	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F
ILMN_3106053	0.0496	0.00008526	-5.892425	1.75761	-0.29544937	118150669	Slc39a7	solute carrier family 39 (zinc transporter), member 7
ILMN_1218934	0.056	0.00010161	-5.776688	1.60203	-0.30685576	142370751	Rdm1	RAD52 motif 1
ILMN_2690596	0.056	0.00010359	-5.763987	1.58481	-0.60343941	117606331	Hey1	hairy/enhancer-of-split related with YRPW motif 1
ILMN_2752030	0.058	0.00011117	5.717807	1.522	0.53862325	161086894	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1
ILMN_2857086	0.0595	0.00011799	-5.678989	1.46892	-0.34949347	111160868	Tra2a	transformer 2 alpha homolog (Drosophila)
ILMN_2691298	0.0629	0.00013275	-5.602536	1.36362	-0.27911164	40254119	Mrpl27	mitochondrial ribosomal protein L27
ILMN_3102736	0.0629	0.0001453	5.544341	1.28281	0.40474564	238624243	Ciart	circadian associated repressor of transcription
ILMN_2895568	0.0629	0.00015062	5.521252	1.25058	0.28430774	31745186	Popdc3	popeye domain containing 3
ILMN_2741677	0.0629	0.00015208	5.515064	1.24193	0.58196483	82659113	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1
ILMN_2739398	0.0629	0.00015262	5.512769	1.23872	0.34965164	NA		
ILMN_1216167	0.0629	0.00016264	-5.47211	1.1817	-0.23128122	146149206	Syf2	SYF2 homolog, RNA splicing factor (S. cerevisiae)
ILMN_2772728	0.0629	0.00016409	5.466424	1.1737	0.24409272	117938304	Sobp	sine oculis-binding protein homolog (Drosophila)
ILMN_2764819	0.0629	0.0001657	-5.460186	1.16492	-0.2262678	133891747	Rab1a	RAB1A, member RAS oncogene family
ILMN_3158565	0.0629	0.00016574	5.460066	1.16475	0.64384927	116292165	Plin5	perilipin 5
ILMN_1222733	0.0629	0.00017055	5.441804	1.13901	0.21349662	226246560	Ptpn21	protein tyrosine phosphatase, non-receptor type 21
ILMN_2681232	0.0629	0.00017067	-5.44136	1.13838	-0.28006211	268370046	Ifi27	interferon, alpha-inducible protein 27
ILMN_2845917	0.0629	0.00017452	-5.427154	1.11832	-0.21999889	115292448	Arl8b	ADP-ribosylation factor-like 8B
ILMN_2674001	0.0636	0.00018083	-5.404618	1.08642	-0.30321222	30840983	Smyd2	SET and MYND domain containing 2
ILMN_2815506	0.0653	0.0001933	-5.362354	1.02636	-0.31991607	158508431	Gamt	guanidinoacetate methyltransferase
ILMN_1250704	0.0653	0.00020732	-5.318166	0.96325	-0.33528513	84781799	Rcsd1	RCSD domain containing 1
ILMN_2700265	0.0653	0.00020788	5.316483	0.96084	0.38814591	6755033	Pex11a	peroxisomal biogenesis factor 11 alpha
ILMN_1234453	0.0653	0.00020805	-5.315954	0.96008	-0.57374024	652697987	Rbm3	RNA binding motif protein 3
ILMN_2710784	0.0653	0.00021165	-5.305157	0.94461	-0.32327695	226342958	Tecr	trans-2,3-enoyl-CoA reductase
ILMN_2710159	0.0653	0.0002126	5.302338	0.94056	0.32635333	46402208	Plac9a	placenta specific 9a
ILMN_1232776	0.0653	0.00021595	-5.292514	0.92646	-0.1942988	295821177	Mrpl11	mitochondrial ribosomal protein L11
ILMN_1231396	0.0659	0.00022228	-5.274386	0.90039	-0.29279577	40254112	Sertad3	SERTA domain containing 3
ILMN_1227926	0.0672	0.00023104	5.250139	0.86544	0.26443084	118129969	Flt1	FMS-like tyrosine kinase 1
ILMN_2464381	0.0688	0.00024196	-5.221267	0.8237	-0.34233455	20452461	Ttc1	tetratricopeptide repeat domain 1
ILMN_3001650	0.0688	0.00024632	-5.210135	0.80756	-0.37900363	225543194	Ndrg2	N-myc downstream regulated gene 2
ILMN_2629764	0.0688	0.00025008	-5.20068	0.79385	-0.49623495	294862294	Bcl6b	B cell CLL/lymphoma 6, member B
ILMN_1220632	0.0719	0.00026881	-5.155757	0.72846	-0.34056952	7110702	Psmc5	protease (prosome, macropain) 26S subunit, ATPase 5
ILMN_2667346	0.0719	0.00028078	5.12875	0.68899	0.49487223	402747080	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)
ILMN_1222679	0.0719	0.00028384	-5.122032	0.67915	-0.94551728	141802598	Cidec	cell death-inducing DFFA-like effector c
ILMN_2727799	0.0719	0.0002893	-5.110238	0.66186	-0.32418498	254553255	Trafd1	TRAF type zinc finger domain containing 1
ILMN_2661422	0.0719	0.00029888	5.09012	0.63232	0.25768827	71361672	Ramp2	receptor (calcitonin) activity modifying protein 2
ILMN_2622163	0.0719	0.00030504	-5.077517	0.61377	-0.36493418	93102414	Gart	phosphoribosylglycinamide formyltransferase
ILMN_1215768	0.0719	0.00031148	-5.064639	0.5948	-0.23557836	142388970	Riok3	RIO kinase 3
ILMN_2661366	0.0719	0.00031151	-5.064581	0.59471	-1.07290783	21450348	Tmem45b	transmembrane protein 45b
ILMN_2768087	0.0719	0.00031518	5.057377	0.58409	0.3209323	227116285	Col6a1	collagen, type VI, alpha 1
ILMN_3103896	0.0719	0.00031612	5.05554	0.58138	0.28492862	113205064	Timp1	tissue inhibitor of metalloproteinase 1
ILMN_3033007	0.0719	0.00031795	5.051984	0.57613	0.40332718	46560586	Rcan2	regulator of calcineurin 2
ILMN_2749686	0.0719	0.00031859	5.050757	0.57432	0.3258343	698980002	Cdc37l1	cell division cycle 37-like 1
ILMN_2750801	0.0724	0.00032642	-5.035822	0.55224	-0.28641957	255982528	Rpa1	replication protein A1
ILMN_2964324	0.0724	0.00033004	-5.029059	0.54223	-0.36102823	70909321	Igfbp5	insulin-like growth factor binding protein 5
ILMN_1222111	0.0724	0.00034644	4.999302	0.49811	0.23202188	134288881	Col15a1	collagen, type XV, alpha 1
ILMN_2698449	0.0724	0.0003476	4.997254	0.49507	0.49629921	257196256	Hbegf	heparin-binding EGF-like growth factor
ILMN_2701815	0.0724	0.00034782	4.996866	0.49449	0.25907421	113722112	Plxna2	plexin A2
ILMN_2975345	0.0724	0.00035483	-4.984657	0.47634	-0.85743713	118130772	Cdo1	cysteine dioxygenase 1, cytosolic
ILMN_1242025	0.0724	0.00035872	-4.97799	0.46642	-0.31714187	118130234	Kcnc4	potassium voltage gated channel, Shaw-related subfamily, member 4
ILMN_2501719	0.0724	0.00035901	-4.977504	0.4657	-0.28625572	254911002	Ush1c	Usher syndrome 1C
ILMN_2665411	0.075	0.00037666	-4.948199	0.422	-0.39093061	901694056	Nnmt	nicotinamide N-methyltransferase
ILMN_1222734	0.0765	0.00038918	-4.928263	0.39219	-0.44678136	118129922	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1
ILMN_2436489	0.0772	0.00041864	-4.883921	0.32566	-0.21369241	86476057	Vapb	vesicle-associated membrane protein, associated protein B and C
