ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1229091	0.00263	1.74e-07	-1.28e+01	4.4627	-1.27	583828531	Nr1d1	nuclear receptor subfamily 1, group D, member 1
ILMN_2620799	0.04379	1.09e-05	-8.13	2.5229	-5.67e-01	46849717	Dennd2c	DENN/MADD domain containing 2C
ILMN_2749669	0.04379	1.11e-05	-8.11	2.511	-8.29e-01	583828531	Nr1d1	nuclear receptor subfamily 1, group D, member 1
ILMN_2987862	0.04379	1.16e-05	8.07	2.4868	1.19	153792235	Per2	period circadian clock 2
ILMN_3052726	0.06033	1.99e-05	-7.58	2.1631	-4.45e-01	124486585	Auts2	autism susceptibility candidate 2
ILMN_2987863	0.07552	3.00e-05	7.22	1.9109	8.79e-01	153792235	Per2	period circadian clock 2
ILMN_2707510	0.09327	4.60e-05	-6.86	1.636	-7.26e-01	340007430	Arntl	aryl hydrocarbon receptor nuclear translocator-like
ILMN_2710678	0.09327	4.93e-05	-6.80	1.5904	-5.29e-01	84370341	Nfic	nuclear factor I/C
ILMN_2752994	0.11622	6.91e-05	-6.53	1.3665	-8.16e-01	341926178	Fbxo32	F-box protein 32
ILMN_1231586	0.13032	8.61e-05	-6.36	1.2178	-3.47e-01	84490404	Sertad2	SERTA domain containing 2
ILMN_2456243	0.13278	9.65e-05	-6.27	1.1399	-2.40e-01	145386588	Zfp148	zinc finger protein 148
ILMN_1216469	0.15311	1.28e-04	-6.05	0.9453	-6.90e-01	575402986	Kcnab1	potassium voltage-gated channel, shaker-related subfamily, beta member 1
ILMN_1245750	0.15311	1.33e-04	-6.03	0.9189	-5.01e-01	320461726	Prkcd	protein kinase C, delta
ILMN_2823011	0.15311	1.42e-04	-5.98	0.8731	-6.30e-01	130507684	Myo10	myosin X
ILMN_1230062	0.2158	2.14e-04	-5.67	0.5792	-4.41e-01	357430800	Cpeb1	cytoplasmic polyadenylation element binding protein 1
ILMN_2457408	0.24041	2.54e-04	-5.54	0.4541	-2.64e-01	118130013	Zswim4	zinc finger SWIM-type containing 4
ILMN_2894450	0.2506	2.82e-04	-5.47	0.3794	-2.61e-01	30794429	Snx15	sorting nexin 15
ILMN_2719324	0.30308	3.62e-04	-5.29	0.1944	-2.88e-01	117938304	Sobp	sine oculis-binding protein homolog (Drosophila)
ILMN_1250417	0.30308	3.90e-04	5.24	0.1376	2.98e-01	17978249	Adcy4	adenylate cyclase 4
ILMN_2666018	0.30308	4.01e-04	5.22	0.1184	7.72e-01	123701577	Mgp	matrix Gla protein
ILMN_2889482	0.30899	4.33e-04	5.17	0.0608	4.18e-01	6755611	Sox7	SRY (sex determining region Y)-box 7
ILMN_3138439	0.30899	4.49e-04	-5.14	0.0325	-4.74e-01	118131133	Dyrk2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
ILMN_2731550	0.33085	5.03e-04	-5.06	-0.0526	-6.68e-01	87239998	Pnkd	paroxysmal nonkinesiogenic dyskinesia
ILMN_1218358	0.33835	5.37e-04	-5.02	-0.1018	-3.35e-01	NA		
ILMN_2680128	0.35526	5.92e-04	-4.95	-0.1765	-2.62e-01	61742809	Zc3h13	zinc finger CCCH type containing 13
ILMN_3022492	0.35526	6.78e-04	-4.86	-0.2797	-3.90e-01	84370341	Nfic	nuclear factor I/C
ILMN_1239592	0.35526	6.85e-04	-4.85	-0.2878	-5.63e-01	141802222	Fam110b	family with sequence similarity 110, member B
ILMN_3106053	0.35526	7.25e-04	-4.82	-0.3315	-3.67e-01	118150669	Slc39a7	solute carrier family 39 (zinc transporter), member 7
ILMN_2638778	0.35526	7.29e-04	-4.81	-0.3361	-3.86e-01	23956165	Luc7l3	LUC7-like 3 (S. cerevisiae)
ILMN_3155363	0.35526	7.36e-04	4.81	-0.3435	2.92e-01	112421038	Ppl	periplakin
ILMN_2818964	0.35526	7.58e-04	-4.79	-0.3657	-4.18e-01	158508717	Dusp10	dual specificity phosphatase 10
ILMN_2591381	0.35526	7.66e-04	4.78	-0.3735	3.25e-01	226958352	Ppm1b	protein phosphatase 1B, magnesium dependent, beta isoform
ILMN_1231492	0.35526	7.88e-04	-4.76	-0.3953	-2.12e-01	485836836	Itga6	integrin alpha 6
ILMN_2898917	0.35526	8.37e-04	-4.72	-0.442	-5.17e-01	295389845	Otub2	OTU domain, ubiquitin aldehyde binding 2
ILMN_2633678	0.35526	8.57e-04	-4.70	-0.461	-3.00e-01	130507684	Myo10	myosin X
ILMN_2616565	0.35526	8.66e-04	-4.70	-0.4689	-4.41e-01	261862281	Slc2a3	solute carrier family 2 (facilitated glucose transporter), member 3
ILMN_2647739	0.35526	8.69e-04	-4.70	-0.4712	-2.20e-01	255759916	Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1
ILMN_2853957	0.36415	9.65e-04	-4.63	-0.5526	-3.48e-01	451898102	Dag1	dystroglycan 1
ILMN_2678724	0.36415	9.75e-04	-4.62	-0.5611	-6.86e-01	158508717	Dusp10	dual specificity phosphatase 10
ILMN_2645780	0.36415	9.76e-04	4.62	-0.5619	6.11e-01	30794397	Osgin1	oxidative stress induced growth inhibitor 1
ILMN_1231420	0.36415	1.03e-03	-4.59	-0.6004	-4.30e-01	124378041	Golga2	golgi autoantigen, golgin subfamily a, 2
ILMN_1255511	0.36415	1.07e-03	-4.56	-0.6327	-2.91e-01	NA		
