ID	adj.P.Val	P.Value	F	GI	Gene.symbol	Gene.title	Gene.ID
ILMN_2741677	0.000823	6.78e-08	31.2060623	82659113	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	12013
ILMN_2754253	0.001764	3.74e-07	26.0633023	89001108	Gna13	guanine nucleotide binding protein, alpha 13	14674
ILMN_2987862	0.001764	5.09e-07	25.1946372	153792235	Per2	period circadian clock 2	18627
ILMN_2623112	0.001764	5.81e-07	24.8318967	51592074	Fam168a	family with sequence similarity 168, member A	319604
ILMN_1234171	0.005399	2.22e-06	21.312349	226442802	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	14056
ILMN_1231586	0.007096	3.51e-06	20.191263	84490404	Sertad2	SERTA domain containing 2	58172
ILMN_3124885	0.007806	4.50e-06	19.5922497	557786143	Pdpk1	3-phosphoinositide dependent protein kinase 1	18607
ILMN_1240950	0.007976	5.25e-06	19.2252038	674274944	Usp1	ubiquitin specific peptidase 1	230484
ILMN_2987863	0.012998	9.63e-06	17.8284107	153792235	Per2	period circadian clock 2	18627
ILMN_2722513	0.013418	1.10e-05	17.5206259	126506309	Pstpip2	proline-serine-threonine phosphatase-interacting protein 2	19201
ILMN_2606667	0.014239	1.33e-05	17.1012114	161016791	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	13209
ILMN_2662926	0.014239	1.41e-05	16.9852026	76559936	Egr1	early growth response 1	13653
ILMN_1259677	0.016829	1.81e-05	16.4394754	126723460	Cct8	chaperonin containing Tcp1, subunit 8 (theta)	12469
ILMN_2984647	0.016829	2.00e-05	16.2227966	1043392476	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1	11767
ILMN_2905866	0.016829	2.11e-05	16.1100437	240120091	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	17684
ILMN_1229091	0.016829	2.22e-05	16.0023048	583828531	Nr1d1	nuclear receptor subfamily 1, group D, member 1	217166
ILMN_2705203	0.021072	2.95e-05	15.4012813	134053861	Magix	MAGI family member, X-linked	54634
