,f_stat,p_val
PLEKHM3,24.56690940847273,4.974037892531177e-08
PGLYRP1,15.742641417348251,5.84488958518854e-06
GAREM1,13.382559596247997,2.5107300570749735e-05
EPHX3,12.83359358644173,3.571481819176324e-05
MYL12A,12.045888290313991,5.9778433263397594e-05
LINC01006///C7orf13,11.324495197318402,9.67834866689435e-05
DBT,11.225079253303516,0.00010350909028181329
SIDT1,11.206221666013915,0.00010483887723552806
PCNX3,11.149926893118524,0.00010891562331880556
ZNF26,11.021179458373716,0.00011887281962330855
AKAP10,11.014837916878797,0.00011938714430949339
LRIG3,10.874978268893354,0.0001313401792424795
LOC106146153,10.789308910721505,0.00013927223912415753
SLC4A7,10.637169359385346,0.0001546138358773364
ALDH6A1,10.512941039822943,0.00016844432606412586
LOC653602///FAM84A,10.509550801713745,0.0001688393656988821
UGCG,10.376074207167289,0.0001851857173619465
PTPRT,10.319487813747868,0.00019260592870540044
LOC100996412,10.27879894024594,0.00019813261974468543
RABEPK,10.074097573413637,0.0002285559751749967
BICC1,9.902409339085427,0.0002578200015097745
MRPL19,9.874214570494596,0.00026298743492225035
GPR146,9.686552377431722,0.00030025104686510264
LDHA,9.548249161428364,0.0003312119831984332
WFDC1,9.518246398957375,0.00033835738998879463
GGH,9.452095731660366,0.00035468539688207135
TSSK1B,9.357133970487256,0.0003795747526006696
FCN3,9.213812976801346,0.0004206417255835468
UTF1,9.126990148066414,0.0004477493725012312
ABRA,8.977906710391219,0.0004986273064509637
ASB16-AS1,8.904046910820153,0.0005260322081774573
TNRC6B,8.866430819497666,0.0005405883902795065
NFIA,8.861905021850596,0.000542367812691112
DCAF8,8.810173706272801,0.0005631464888115515
ZSCAN32,8.775356696351347,0.0005775971921137767
TDRD3,8.753119838824434,0.0005870283868385714
ZNF12,8.646571960346177,0.0006344977357419986
ZNF785,8.62346483293914,0.0006453105784298893
REG3G,8.604662467841203,0.0006542507328244543
PCMTD2,8.575943615360277,0.0006681560280490039
INTS10,8.395501235896592,0.0007628745455724315
LOC388692,8.394544666694385,0.0007634124034261405
GPATCH3,8.341092750504226,0.0007941044205543979
MYSM1,8.261564212850816,0.0008421714613175722
KCNA6,8.252075612672158,0.0008481056196421861
LOC101927826///FBXO41,8.218724650415833,0.0008693114854364498
TROVE2,8.129951377295658,0.000928494728231596
TMEM192,8.1127120645885,0.000940466877085892
ZNF292,8.069587136649778,0.0009711259512729117
GJC1,8.016837091806575,0.001010050368861831
KRR1,7.950913558248164,0.001060994265693277
FGF17,7.93179199848546,0.0010762667661523338
TPR,7.895691141356189,0.0011057288348017829
TAF4B,7.882176585730241,0.0011169733477653682
RIMBP2,7.843125554423458,0.0011501398663578207
INO80B-WBP1///INO80B,7.735543252129039,0.0012469291211111865
FGF9,7.72340387670226,0.0012583717660914434
MTPN,7.705488922941899,0.0012754588886989878
CPPED1,7.685129451239692,0.001295171594126557
TLR7,7.662753140265694,0.0013172039006421315
